id:ID,name,高度(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),整备质量(kg),车身结构,车门数(个),座位数(个),后排车门开启方式,油箱容积(L),货箱尺寸(mm)
987,车身,1910.0,3285.0,1548,1553,145,1560,货车,4.0,2,侧滑门,-,-
988,车身,,,,,,,,,,,,
989,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
990,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
991,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
992,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,8,,-,
993,车身,2345.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
994,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
995,车身,,,,,,,,,,,,
996,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
997,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
998,车身,,,,,,,,,,,,
999,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1000,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1001,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1002,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1003,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1004,车身,1722.0,3155.0,-,-,185,-,皮卡,4.0,5,平开门,-,1485x1510x530
1005,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1006,车身,2345.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1007,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1008,车身,,,,,,,,,,,,
1009,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1010,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1011,车身,1736.0,2760.0,-,-,-,1560,SUV,5.0,7,,50,
1012,车身,,,,,,,,,,,,
1013,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1014,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1015,车身,2376.0,3850.0,1734,1728,200,2440,客车,4.0,2-3,侧滑门,-,-
1016,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14/15,-,80,-
1017,车身,1845.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1018,车身,,,,,,,,,,,,
1019,车身,2105.0,2680.0,-,-,-,-,客车,4.0,12,侧滑门,-,-
1020,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1021,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
1022,车身,2552.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1023,车身,,,,,,,,,,,,
1024,车身,2070.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1025,车身,,,,,,,,,,,,
1026,车身,,,,,,,,,,,,
1027,车身,1722.0,3470.0,-,-,185,-,皮卡,4.0,5,平开门,-,1800x1510x530
1028,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1029,车身,,,,,,,,,,,,
1030,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1031,车身,2345.0,3850.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1032,车身,2520.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1033,车身,,,,,,,,,,,,
1034,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1035,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1036,车身,2105.0,2455.0,-,-,-,-,客车,4.0,10,侧滑门,-,-
1037,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1038,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1039,车身,2345.0,3850.0,-,-,-,-,客车,5.0,9,-,80,-
1040,车身,2525.0,3760.0,1734,1756,180,2520,货车,5.0,3,侧滑门,-,-
1041,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1042,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1043,车身,,,,,,,,,,,,
1044,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1045,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1046,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11/12,-,80,-
1047,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1048,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1049,车身,2545.0,3366.0,-,-,-,-,客车,5.0,12,侧滑门,80,-
1050,车身,2740.0,3760.0,-,-,-,-,客车,5.0,15,侧滑门,80,-
1051,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1052,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,-,80,-
1053,车身,2070.0,3100.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1054,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1055,车身,2555.0,3366.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1056,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1057,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1058,车身,2345.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1059,车身,2345.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1060,车身,2345.0,3850.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1061,车身,2577.0,4175.0,-,-,-,-,客车,5.0,17/18,-,80,-
1062,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1063,车身,1778.0,2800.0,-,-,-,1535,MPV,5.0,7,,50,
1064,车身,2525.0,3760.0,-,-,-,-,客车,5.0,15,侧滑门,80,-
1065,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1066,车身,1736.0,2760.0,1570,1580,160,1775,SUV,5.0,5,,-,
1067,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1068,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1069,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1070,车身,2345.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1071,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1072,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1073,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1074,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1075,车身,1910.0,3285.0,1548,1553,145,1500,货车,4.0,2,侧滑门,-,-
1076,车身,2070.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1077,车身,2365.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1078,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1079,车身,2552.0,3820.0,-,-,-,-,货车,4.0,3,侧滑门,80,-
1080,车身,,,,,,,,,,,,
1081,车身,,,,,,,,,,,,
1082,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1083,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1084,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1085,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1086,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1087,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,6,,75,
1088,车身,2755.0,3760.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1089,车身,,,,,,,,,,,,
1090,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1091,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1092,车身,2740.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1093,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1094,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1095,车身,2345.0,3100.0,-,-,-,-,货车,4.0,2/3,侧滑门,80,-
1096,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1097,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1098,车身,2372.0,4175.0,-,-,-,-,客车,4.0,17,-,80,-
1099,车身,2372.0,4175.0,-,-,-,-,客车,4.0,17,-,80,-
1100,车身,1910.0,3285.0,1548,1553,145,1560,货车,4.0,2,侧滑门,-,-
1101,车身,,,,,,,,,,,,
1102,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1103,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1104,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1105,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1106,车身,2345.0,3850.0,-,-,-,-,客车,4.0,9,-,80,-
1107,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1108,车身,2345.0,3100.0,-,-,-,-,客车,5.0,10,侧滑门,80,-
1109,车身,1722.0,3470.0,-,-,185,-,皮卡,4.0,5,平开门,-,1800x1510x530
1110,车身,,,,,,,,,,,,
1111,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1112,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1113,车身,,,,,,,,,,,,
1114,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,-,
1115,车身,2345.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1116,车身,,,,,,,,,,,,
1117,车身,2535.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1118,车身,2105.0,2680.0,-,-,-,-,客车,4.0,15,侧滑门,-,-
1119,车身,2345.0,3100.0,-,-,-,-,客车,4.0,11/12,-,80,-
1120,车身,2577.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
1121,车身,1910.0,3285.0,1548,1553,145,1500,货车,4.0,2,侧滑门,-,-
1122,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1123,车身,,,,,,,,,,,,
1124,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1125,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1126,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1127,车身,2545.0,3366.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1128,车身,,,,,,,,,,,,
1129,车身,2372.0,4175.0,-,-,-,-,客车,4.0,17/18,-,80,-
1130,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1131,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1132,车身,,,,,,,,,,,,
1133,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1134,车身,2555.0,3366.0,-,-,-,-,货车,5.0,3,侧滑门,80,-
1135,车身,1845.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1136,车身,2365.0,3000.0,-,-,-,-,客车,5.0,6,侧滑门,80,-
1137,车身,,,,,,,,,,,,
1138,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1139,车身,,,,,,,,,,,,
1140,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1141,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1142,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1143,车身,2735.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1144,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,9,,-,
1145,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1146,车身,,,,,,,,,,,,
1147,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1148,车身,2105.0,2455.0,-,-,-,-,客车,4.0,12/15,侧滑门,-,-
1149,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1150,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1151,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1152,车身,2174.0,3100.0,1734,1728,200,2230,客车,4.0,2-3,侧滑门,-,-
1153,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1154,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1155,车身,2520.0,3760.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1156,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1157,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1158,车身,2380.0,3100.0,1734,1728,200,2230,客车,4.0,2-3,侧滑门,-,-
1159,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,5,,-,
1160,车身,2345.0,3100.0,-,-,-,-,客车,5.0,11/12,-,80,-
1161,车身,2552.0,3850.0,-,-,-,-,客车,5.0,6/7/8/9,侧滑门,80,-
1162,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1163,车身,,,,,,,,,,,,
1164,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1165,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1166,车身,2132.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1167,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1168,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1169,车身,2070.0,3100.0,-,-,-,-,客车,5.0,5/6,侧滑门,80,-
1170,车身,1845.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1171,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1172,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1173,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1174,车身,2740.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1175,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1176,车身,1722.0,3155.0,-,-,185,-,皮卡,4.0,5,平开门,-,1485x1510x530
1177,车身,,,,,,,,,,,,
1178,车身,1895.0,2910.0,1548,1553,145,1420,货车,4.0,2,侧滑门,-,-
1179,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1180,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1181,车身,1736.0,2760.0,1570,1580,160,-,SUV,5.0,5,,-,
1182,车身,2525.0,3366.0,1734,1756,180,2300,货车,5.0,3,侧滑门,-,-
1183,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1184,车身,1928.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1185,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,6,,50,
1186,车身,2535.0,3366.0,-,-,-,-,客车,5.0,7,侧滑门,80,-
1187,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1188,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1189,车身,2345.0,3850.0,-,-,-,-,货车,4.0,2/3,-,80,-
1190,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1191,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1192,车身,2525.0,3760.0,-,-,-,-,客车,5.0,9,侧滑门,80,-
1193,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1194,车身,2345.0,3100.0,-,-,-,-,货车,4.0,6,侧滑门,80,-
1195,车身,2552.0,3850.0,-,-,-,-,客车,5.0,14/15,-,80,-
1196,车身,1778.0,2800.0,-,-,-,-,MPV,5.0,7,,50,
1197,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1198,车身,1895.0,2910.0,1548,1553,145,1480,货车,4.0,2,侧滑门,-,-
1199,车身,1875.0,2950.0,1600,1620,210,-,SUV,5.0,7,,75,
1200,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1201,车身,2345.0,3100.0,-,-,-,-,客车,4.0,9,-,80,-
1202,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1203,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1204,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1205,车身,,,,,,,,,,,,
1206,车身,1809.0,3470.0,-,-,216,-,皮卡,4.0,5,平开门,-,1800x1510x530
1207,车身,1875.0,2950.0,-,-,210,-,SUV,5.0,7,,75,
1208,车身,2525.0,3760.0,-,-,-,-,客车,5.0,15,侧滑门,80,-
1209,车身,1938.0,3198.0,-,-,-,-,MPV,5.0,7,,-,
1210,车身,1928.0,3198.0,-,-,-,-,MPV,4.0,7,,75,
1211,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,5,,50,
1212,车身,1736.0,2760.0,-,-,-,-,SUV,5.0,7,,50,
1213,车身,2345.0,3100.0,-,-,-,-,客车,5.0,7/8/9,侧滑门,80,-
1214,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1215,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1216,车身,,,,,,,,,,,,
1217,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1218,车身,1778.0,2800.0,1560,1570,130,-,MPV,5.0,7,,-,
1219,车身,2345.0,3850.0,-,-,-,-,客车,4.0,14/15,-,80,-
1220,车身,1809.0,3155.0,-,-,215,-,皮卡,4.0,5,平开门,-,1485x1510x530
1221,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1222,车身,1809.0,3470.0,-,-,-,-,皮卡,4.0,5,平开门,-,1800x1510x530
1223,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
1224,车身,1809.0,3155.0,-,-,-,-,皮卡,4.0,5,平开门,-,1485x1510x530
