id:ID,name,前悬架类型,后悬架类型,助力类型,车体结构
1951,底盘转向,,钢板弹簧,电动助力,未知
1952,底盘转向,,,,
1953,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1954,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
1955,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
1956,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
1957,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1958,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1959,底盘转向,,,,
1960,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1961,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
1962,底盘转向,,,,
1963,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1964,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
1965,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1966,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1967,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1968,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1969,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1970,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1971,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1972,底盘转向,,,,
1973,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
1974,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1975,底盘转向,,多连杆式独立悬架,电动助力,承载式
1976,底盘转向,,,,
1977,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
1978,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
1979,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1980,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1981,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
1982,底盘转向,,,,
1983,底盘转向,,钢板弹簧,液压助力,承载式
1984,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1985,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
1986,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1987,底盘转向,,,,
1988,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1989,底盘转向,,,,
1990,底盘转向,,,,
1991,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1992,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1993,底盘转向,,,,
1994,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
1995,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
1996,底盘转向,,非独立悬架,液压助力,承载式
1997,底盘转向,,,,
1998,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
1999,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2000,底盘转向,,钢板弹簧,液压助力,承载式
2001,底盘转向,,五连杆后悬架,电动助力,承载式
2002,底盘转向,,钢板弹簧,电动助力,未知
2003,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2004,底盘转向,,非独立悬架,电动助力,承载式
2005,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2006,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2007,底盘转向,,,,
2008,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2009,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2010,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2011,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2012,底盘转向,,多连杆式独立悬架,电动助力,承载式
2013,底盘转向,,非独立悬架,液压助力,承载式
2014,底盘转向,,非独立悬架,液压助力,承载式
2015,底盘转向,,多连杆式独立悬架,电动助力,承载式
2016,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2017,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2018,底盘转向,,多连杆式独立悬架,电动助力,承载式
2019,底盘转向,,非独立悬架,液压助力,承载式
2020,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2021,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2022,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2023,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2024,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2025,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2026,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2027,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2028,底盘转向,,非独立悬架,液压助力,承载式
2029,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2030,底盘转向,,多连杆式独立悬架,电动助力,承载式
2031,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2032,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2033,底盘转向,,钢板弹簧,电动助力,未知
2034,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2035,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2036,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2037,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2038,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2039,底盘转向,,钢板弹簧,电动助力,未知
2040,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2041,底盘转向,,非独立悬架,液压助力,承载式
2042,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2043,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2044,底盘转向,,,,
2045,底盘转向,,,,
2046,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2047,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2048,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2049,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2050,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2051,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2052,底盘转向,,非独立悬架,液压助力,承载式
2053,底盘转向,,,,
2054,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2055,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2056,底盘转向,,非独立悬架,液压助力,承载式
2057,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2058,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2059,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2060,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2061,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2062,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2063,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2064,底盘转向,,钢板弹簧,电动助力,未知
2065,底盘转向,,,,
2066,底盘转向,,多连杆式独立悬架,电动助力,承载式
2067,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2068,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2069,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2070,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2071,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2072,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2073,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2074,底盘转向,,,,
2075,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2076,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2077,底盘转向,,,,
2078,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2079,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2080,底盘转向,,,,
2081,底盘转向,,非独立悬架,液压助力,承载式
2082,底盘转向,,钢板弹簧,液压助力,承载式
2083,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2084,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2085,底盘转向,,钢板弹簧,电动助力,未知
2086,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2087,底盘转向,,,,
2088,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2089,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2090,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2091,底盘转向,,非独立悬架,液压助力,承载式
2092,底盘转向,,,,
2093,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2094,底盘转向,,多连杆式独立悬架,电动助力,承载式
2095,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2096,底盘转向,,,,
2097,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2098,底盘转向,,非独立悬架,液压助力,承载式
2099,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2100,底盘转向,,非独立悬架,液压助力,承载式
2101,底盘转向,,,,
2102,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2103,底盘转向,,,,
2104,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2105,底盘转向,,非独立悬架,液压助力,承载式
2106,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2107,底盘转向,,非独立悬架,液压助力,承载式
2108,底盘转向,,五连杆独立悬架,电动助力,承载式
2109,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2110,底盘转向,,,,
2111,底盘转向,,多连杆式独立悬架,电动助力,承载式
2112,底盘转向,,钢板弹簧,液压助力,承载式
2113,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2114,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2115,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2116,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2117,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2118,底盘转向,,钢板弹簧,电动助力,未知
2119,底盘转向,,非独立悬架,液压助力,承载式
2120,底盘转向,,五连杆后悬架,电动助力,承载式
2121,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2122,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2123,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2124,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2125,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2126,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2127,底盘转向,,,,
2128,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2129,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2130,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2131,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2132,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2133,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2134,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2135,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2136,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2137,底盘转向,,多连杆式独立悬架,电动助力,承载式
2138,底盘转向,,非独立悬架,液压助力,承载式
2139,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2140,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2141,底盘转向,,,,
2142,底盘转向,,钢板弹簧,电动助力,未知
2143,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2144,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2145,底盘转向,,多连杆式独立悬架,电动助力,承载式
2146,底盘转向,,非独立悬架,电动助力,承载式
2147,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2148,底盘转向,,多连杆式独立悬架,电动助力,承载式
2149,底盘转向,,多连杆式独立悬架,电动助力,承载式
2150,底盘转向,,非独立悬架,液压助力,承载式
2151,底盘转向,,五连杆整体桥式非独立悬架,电动助力,非承载式
2152,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2153,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2154,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2155,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2156,底盘转向,,非独立悬架,液压助力,承载式
2157,底盘转向,,多连杆式独立悬架,电动助力,承载式
2158,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2159,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2160,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2161,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2162,底盘转向,,钢板弹簧,电动助力,未知
2163,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2164,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2165,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2166,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2167,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2168,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2169,底盘转向,,,,
2170,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2171,底盘转向,双叉臂式独立悬架,五连杆整体桥式非独立悬架,电动助力,非承载式
2172,底盘转向,,非独立悬架,液压助力,承载式
2173,底盘转向,,多连杆式独立悬架,电动助力,承载式
2174,底盘转向,,五连杆非独立悬架,机械液压助力,承载式
2175,底盘转向,,多连杆式独立悬架,电动助力,承载式
2176,底盘转向,,多连杆式独立悬架,电动助力,承载式
2177,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2178,底盘转向,,全渐变式钢板弹簧非独立悬架,未知,非承载式
2179,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2180,底盘转向,,,,
2181,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2182,底盘转向,,扭力梁式非独立悬架,电动助力,承载式
2183,底盘转向,,钢板弹簧非独立悬架,液压助力,承载式
2184,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2185,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2186,底盘转向,,全渐变式钢板弹簧非独立悬架,电动助力,非承载式
2187,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
2188,底盘转向,,全渐变式钢板弹簧非独立悬架,液压助力,非承载式
